Date,Bank Index,WFC Close Price,JPM Close Price,BAC Close Price
2019-09-19,4.6897501945495605,48.91,119.38,29.82
2019-09-20,4.6529998779296875,48.63,118.9,29.59
2019-09-23,4.610249996185303,48.96,118.88,29.52
2019-09-24,4.5970001220703125,48.65,117.33,28.94
2019-09-25,4.619500160217285,49.26,118.0,29.25
2019-09-26,4.590250015258789,48.87,117.03,29.13
2019-09-27,4.651249885559082,50.71,117.72,29.35
2019-09-30,4.620999813079834,50.44,117.69,29.17
2019-10-01,4.570000171661377,49.06,115.55,28.44
2019-10-02,4.422500133514404,48.47,113.25,27.84
2019-10-03,4.391749858856201,48.48,112.19,27.81
2019-10-04,4.4407501220703125,49.21,114.62,28.37
2019-10-07,4.505000114440918,48.81,114.37,28.31
2019-10-08,4.386250019073486,47.82,111.82,27.63
2019-10-09,4.395750045776367,48.15,112.63,27.89
2019-10-10,4.482999801635742,48.65,114.21,28.45
2019-10-11,4.600500106811523,49.21,116.14,28.91
2019-10-14,4.551000118255615,49.27,116.45,29.14
2019-10-15,4.635000228881836,50.11,119.96,29.73
2019-10-16,4.645750045776367,49.59,119.68,30.17
2019-10-17,4.612750053405762,49.61,120.35,30.26
2019-10-18,4.645999908447266,49.97,120.56,30.35
2019-10-21,4.719250202178955,50.46,123.55,31.02
2019-10-22,4.742499828338623,50.62,124.79,31.2
2019-10-23,4.745999813079834,50.93,125.12,31.42
2019-10-24,4.739749908447266,51.1,125.03,31.36
2019-10-25,4.802750110626221,51.57,126.03,31.72
2019-10-28,4.835999965667725,51.65,126.51,31.84
2019-10-29,4.837500095367432,52.17,126.43,32.07
2019-10-30,4.782249927520752,52.03,125.73,31.62
2019-10-31,4.716750144958496,51.63,124.92,31.27
2019-11-01,4.822249889373779,52.18,127.8,31.8
2019-11-04,4.909999847412109,52.72,128.82,32.4
2019-11-05,4.980249881744385,53.3,129.1,32.82
2019-11-06,4.95674991607666,53.8,129.3,32.79
2019-11-07,5.039000034332275,54.0,130.0,33.23
2019-11-08,4.989749908447266,54.1,130.38,33.26
2019-11-11,4.975500106811523,54.05,129.92,33.18
2019-11-12,4.991499900817871,54.22,129.16,33.09
2019-11-13,4.930500030517578,53.29,128.48,32.79
2019-11-14,4.910749912261963,53.49,128.6,32.7
2019-11-15,4.949999809265137,53.8,129.53,32.93
2019-11-18,4.935500144958496,54.0,130.62,32.96
2019-11-19,4.9332499504089355,54.03,130.58,32.94
2019-11-20,4.939000129699707,53.54,129.63,32.69
2019-11-21,4.909249782562256,53.56,129.93,32.84
2019-11-22,4.958749771118164,54.28,130.79,33.18
2019-11-25,4.992499828338623,54.21,131.49,33.47
2019-11-26,4.971499919891357,53.81,131.67,33.35
2019-11-27,4.988749980926514,54.34,132.06,33.42
2019-11-29,5.007999897003174,54.46,131.76,33.32
2019-12-02,4.979249954223633,53.62,131.47,33.43
2019-12-03,4.849999904632568,52.58,129.78,32.84
2019-12-04,4.945250034332275,53.24,132.34,33.15
2019-12-05,4.951000213623047,53.23,133.06,33.09
2019-12-06,5.045000076293945,54.37,135.04,33.67
2019-12-09,5.034999847412109,53.92,134.41,33.51
2019-12-10,5.038000106811523,53.69,134.5,33.53
2019-12-11,5.021999835968018,53.17,134.18,33.64
2019-12-12,5.136000156402588,54.36,138.02,34.68
2019-12-13,5.104000091552734,53.79,136.81,34.44
2019-12-16,5.183000087738037,54.22,137.34,34.7
2019-12-17,5.168000221252441,54.34,138.18,35.04
2019-12-18,5.201499938964844,53.67,138.04,35.11
2019-12-19,5.178999900817871,53.63,137.35,34.95
2019-12-20,5.202499866485596,53.33,137.24,34.96
2019-12-23,5.165999889373779,53.81,137.2,35.17
2019-12-24,5.168000221252441,53.82,137.58,35.22
2019-12-27,5.178500175476074,53.92,139.14,35.35
2019-12-30,5.179999828338623,53.6,138.63,35.15
2019-12-31,5.1645002365112305,53.8,139.4,35.22
2020-01-02,5.169000148773193,53.75,141.09,35.64
